session_id,date,available_capacity,min_age_limit,allow_all_age,vaccine,available_capacity_dose1,available_capacity_dose2,max_age_limit,address,block,center_id,district
b500a57a-2439-4c65-82e6-7b7b15f9e38d,03-09-2021,383,45,False,COVISHIELD,147,236,,M 4 GREATER KAILASH 1 NEAR M BLOCK MARKET,Not Applicable,615507,South Delhi
4e3c0b15-4b48-4796-a0e4-ff0ccfd1ad9a,03-09-2021,294,18,False,COVISHIELD,140,154,44.0,M 4 GREATER KAILASH 1 NEAR M BLOCK MARKET,Not Applicable,615507,South Delhi
bb3a4dd1-dbd8-4d86-9d0b-5b60243a3d66,04-09-2021,385,45,False,COVISHIELD,148,237,,M 4 GREATER KAILASH 1 NEAR M BLOCK MARKET,Not Applicable,615507,South Delhi
4ddeeb4a-7ad5-461a-918f-e42c8f92e642,04-09-2021,290,18,False,COVISHIELD,140,150,44.0,M 4 GREATER KAILASH 1 NEAR M BLOCK MARKET,Not Applicable,615507,South Delhi
925dbbf5-5514-4ae3-961b-d253e281bbf5,05-09-2021,393,45,False,COVISHIELD,149,244,,M 4 GREATER KAILASH 1 NEAR M BLOCK MARKET,Not Applicable,615507,South Delhi
2e20c3e5-fce5-4103-9faf-e166a9cc1a22,05-09-2021,311,18,False,COVISHIELD,143,168,44.0,M 4 GREATER KAILASH 1 NEAR M BLOCK MARKET,Not Applicable,615507,South Delhi
76e3fed5-e574-4fb1-bc9c-53fbe27954d8,03-09-2021,405,18,True,COVISHIELD,254,151,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
96d4c98d-16fe-47e2-a24c-62d089f2f280,03-09-2021,391,18,True,COVAXIN,262,129,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
f6a0a100-6133-42ab-8260-c4214d15fe5d,04-09-2021,247,18,True,COVISHIELD,172,75,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
240c82b3-e292-4c39-baa9-56c10e6ba13a,04-09-2021,315,18,True,COVAXIN,158,157,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
d208ef11-9b63-4ed0-bd8b-d125c4b61134,05-09-2021,367,18,True,COVAXIN,194,173,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
925109b1-f425-43e9-9492-ff6d3e0d3036,05-09-2021,349,18,True,COVISHIELD,191,158,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
ba7d93ed-b0a5-44ac-98af-872fd6f7312a,06-09-2021,369,18,True,COVISHIELD,197,172,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
2a0581c8-a0df-4ef7-95ca-19bcc3443377,06-09-2021,390,18,True,COVAXIN,195,195,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
7d803887-10dc-49f1-a9c5-212c088b6b93,07-09-2021,395,18,True,COVAXIN,198,197,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
51a6c859-0b49-4c8e-8ffe-924b4e1ea782,07-09-2021,389,18,True,COVISHIELD,198,191,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
fa4c59db-c2e4-4a97-a294-131804c93fee,08-09-2021,391,18,True,COVISHIELD,198,193,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
1ce78e0f-8f95-41bb-9739-0e1532d3d11b,08-09-2021,398,18,True,COVAXIN,200,198,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
707933b6-7ca9-44bd-b4aa-aced90103c1b,09-09-2021,397,18,True,COVAXIN,200,197,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
fe939036-8472-4fdf-bdf3-1680a99639c7,09-09-2021,394,18,True,COVISHIELD,200,194,,Geetanjali FC-29 5 Near Malviya Nagar Metro Station New Delhi 110017,Not Applicable,580948,South Delhi
0e9ca7be-82e7-4c78-b522-18786631b931,03-09-2021,50,18,True,COVISHIELD,25,25,,HAUZ RANI MALVIYA NAGAR,Not Applicable,616413,South Delhi
7221d57b-f949-4dc1-bc3e-9a7900197533,04-09-2021,45,18,True,COVISHIELD,23,22,,HAUZ RANI MALVIYA NAGAR,Not Applicable,616413,South Delhi
